order_id,order_date,customer_name,customer_country,product_name,category,supplier_name,warehouse_name,quantity_ordered,unit_price,total_price,shipment_id,transporter_name,shipment_date,delivery_date,delivery_status
10038,2025-05-29,BYD Auto,USA,Solar Panel,Energy,Quantum Supplies,Asia Hub,29,476.1,13806.900000000001,SHP10038,UPS Global,2025-06-03,2025-06-07,Delivered
10039,2024-08-27,Tesla Motors,UK,Lithium Battery,Energy,Quantum Supplies,West Coast DC,63,196.65,12388.95,SHP10039,FedEx Logistics,2024-08-29,2024-09-01,Delivered
10040,2025-02-16,Huawei Tech,India,Solar Panel,Energy,Quantum Supplies,Middle East Hub,145,476.1,69034.5,SHP10040,FedEx Logistics,2025-02-18,2025-02-21,Delivered
10041,2024-02-20,Medtronic,India,PCB Board,Electronics,Quantum Supplies,West Coast DC,177,435.1,77012.7,SHP10041,FedEx Logistics,2024-02-22,2024-02-25,Delivered
10042,2025-03-29,Cisco Systems,UK,WiFi Module,Electronics,BlueWave Materials,Middle East Hub,119,358.42,42651.98,SHP10042,DHL Express,2025-04-01,2025-04-07,Delayed
10043,2024-04-01,Amazon Robotics,Germany,Door Sensor,Home Automation,GreenLeaf Components,West Coast DC,92,485.41,44657.72,SHP10043,FedEx Logistics,2024-04-02,2024-04-03,Delivered
10044,2024-12-17,Philips Healthcare,UK,Energy Meter,Energy,GreenLeaf Components,East Coast DC,48,305.35,14656.800000000001,SHP10044,UPS Global,2024-12-19,2024-12-25,Delayed
10045,2025-04-21,NIO Inc,India,Blood Pressure Monitor,Healthcare,GreenLeaf Components,East Coast DC,139,82.65,11488.35,SHP10045,FedEx Logistics,2025-04-25,2025-04-28,Delivered
10046,2024-12-09,Intel Corp,Japan,GPS Unit,Automotive,GreenLeaf Components,Middle East Hub,92,156.25,14375.0,SHP10046,Maersk Shipping,2024-12-12,2024-12-15,Delivered
10047,2024-05-09,General Electric,China,Lithium Battery,Energy,Quantum Supplies,East Coast DC,80,196.65,15732.0,SHP10047,DHL Express,2024-05-11,2024-05-16,Delivered
10048,2024-11-11,LG Electronics,Germany,Light Controller,Home Automation,BlueWave Materials,Middle East Hub,57,117.98,6724.860000000001,SHP10048,UPS Global,2024-11-13,2024-11-19,Delayed
10049,2025-03-15,Philips Healthcare,UK,Smart Switch,Home Automation,Quantum Supplies,East Coast DC,101,24.98,2522.98,SHP10049,Maersk Shipping,2025-03-16,2025-03-17,Delivered
10050,2025-01-08,Amazon Robotics,Germany,Voice Assistant,Home Automation,Nova Industrial,West Coast DC,70,103.19,7223.3,SHP10050,DHL Express,2025-01-12,2025-01-17,Delivered
10051,2025-03-01,Philips Healthcare,UK,Oximeter,Healthcare,Sunrise Electronics,Central Europe DC,145,192.69,27940.05,SHP10051,Maersk Shipping,2025-03-06,2025-03-09,Delivered
10052,2024-11-20,Medtronic,India,Brake Module,Automotive,Global Tech Parts,West Coast DC,99,224.49,22224.510000000002,SHP10052,Maersk Shipping,2024-11-22,2024-11-24,Delivered
10053,2025-07-22,Microsoft Devices,India,GPS Unit,Automotive,GreenLeaf Components,Asia Hub,61,156.25,9531.25,SHP10053,FedEx Logistics,2025-07-25,2025-07-31,Delayed
10054,2024-03-28,Apple Inc,UK,Microcontroller,Electronics,Sunrise Electronics,Central Europe DC,188,90.66,17044.079999999998,SHP10054,FedEx Logistics,2024-03-31,2024-04-02,Delivered
10055,2024-11-09,Toyota Motors,South Korea,PCB Board,Electronics,Quantum Supplies,East Coast DC,173,435.1,75272.3,SHP10055,FedEx Logistics,2024-11-13,2024-11-18,Delivered
10056,2024-10-15,Microsoft Devices,India,PCB Board,Electronics,Quantum Supplies,West Coast DC,48,435.1,20884.800000000003,SHP10056,Maersk Shipping,2024-10-16,2024-10-19,Delivered
10057,2024-10-06,Ford Motors,South Korea,Power Cable,Energy,Sunrise Electronics,Middle East Hub,125,90.67,11333.75,SHP10057,DHL Express,2024-10-11,2024-10-13,Delivered
10058,2024-08-17,Siemens AG,India,Smart Thermometer,Healthcare,Nova Industrial,West Coast DC,172,156.69,26950.68,SHP10058,Maersk Shipping,2024-08-19,2024-08-25,Delayed
10059,2025-03-31,NIO Inc,India,Fuel Injector,Automotive,Nova Industrial,Central Europe DC,111,269.51,29915.61,SHP10059,UPS Global,2025-04-03,2025-04-10,Delayed
10060,2025-01-25,Philips Healthcare,UK,Brake Module,Automotive,Global Tech Parts,Central Europe DC,82,224.49,18408.18,SHP10060,Maersk Shipping,2025-01-26,2025-01-26,Delivered
10061,2024-11-24,Siemens AG,India,PCB Board,Electronics,Quantum Supplies,West Coast DC,107,435.1,46555.700000000004,SHP10061,UPS Global,2024-11-25,2024-12-01,Delayed
10062,2025-01-17,Amazon Robotics,Germany,Lithium Battery,Energy,Quantum Supplies,Asia Hub,69,196.65,13568.85,SHP10062,Maersk Shipping,2025-01-22,2025-01-24,Delivered
10063,2025-07-12,Panasonic Corp,Netherlands,LED Driver,Electronics,Sunrise Electronics,Middle East Hub,186,306.54,57016.44,SHP10063,UPS Global,2025-07-14,2025-07-19,Delivered
10064,2025-03-02,Sony Corp,Netherlands,GPS Unit,Automotive,GreenLeaf Components,Asia Hub,193,156.25,30156.25,SHP10064,UPS Global,2025-03-07,2025-03-14,Delayed
10065,2024-06-22,Siemens AG,India,ECG Sensor,Healthcare,GreenLeaf Components,Central Europe DC,71,311.75,22134.25,SHP10065,DHL Express,2024-06-24,2024-06-26,Delivered
10066,2025-02-16,NIO Inc,India,Power Cable,Energy,Sunrise Electronics,Middle East Hub,134,90.67,12149.78,SHP10066,FedEx Logistics,2025-02-20,2025-02-27,Delayed
10067,2024-12-30,Amazon Robotics,Germany,Voice Assistant,Home Automation,Nova Industrial,Middle East Hub,164,103.19,16923.16,SHP10067,UPS Global,2024-12-31,2025-01-04,Delivered
10068,2025-04-05,Microsoft Devices,India,Oximeter,Healthcare,Sunrise Electronics,Middle East Hub,11,192.69,2119.59,SHP10068,DHL Express,2025-04-06,2025-04-12,Delayed
10069,2024-05-07,Medtronic,India,Inverter,Energy,Nova Industrial,West Coast DC,136,370.02,50322.72,SHP10069,FedEx Logistics,2024-05-10,2024-05-15,Delivered
10070,2024-06-18,Cisco Systems,UK,Inverter,Energy,Nova Industrial,East Coast DC,127,370.02,46992.54,SHP10070,UPS Global,2024-06-21,2024-06-21,Delivered
10071,2024-05-10,Bosch GmbH,UK,Microcontroller,Electronics,Sunrise Electronics,West Coast DC,20,90.66,1813.1999999999998,SHP10071,DHL Express,2024-05-13,2024-05-17,Delivered
10072,2024-11-08,Bosch GmbH,UK,Light Controller,Home Automation,BlueWave Materials,Middle East Hub,137,117.98,16163.26,SHP10072,DHL Express,2024-11-11,2024-11-18,Delayed
10073,2025-08-22,Huawei Tech,India,Power Cable,Energy,Sunrise Electronics,Middle East Hub,195,90.67,17680.65,SHP10073,DHL Express,2025-08-24,2025-08-27,Delivered
10074,2025-02-27,Panasonic Corp,Netherlands,Smart Thermometer,Healthcare,Nova Industrial,Asia Hub,125,156.69,19586.25,SHP10074,FedEx Logistics,2025-03-04,2025-03-06,Delivered
10075,2025-07-20,NIO Inc,India,Microcontroller,Electronics,Sunrise Electronics,Central Europe DC,93,90.66,8431.38,SHP10075,UPS Global,2025-07-23,2025-07-24,Delivered
10076,2025-07-17,Huawei Tech,India,Smart Switch,Home Automation,Quantum Supplies,Asia Hub,81,24.98,2023.38,SHP10076,FedEx Logistics,2025-07-20,2025-07-20,Delivered
10077,2025-04-15,BYD Auto,USA,Oximeter,Healthcare,Sunrise Electronics,Central Europe DC,141,192.69,27169.29,SHP10077,DHL Express,2025-04-18,2025-04-19,Delivered
10078,2024-07-21,Cisco Systems,UK,GPS Unit,Automotive,GreenLeaf Components,Central Europe DC,89,156.25,13906.25,SHP10078,FedEx Logistics,2024-07-26,2024-07-26,Delivered
10079,2024-04-21,Sony Corp,Netherlands,Power Cable,Energy,Sunrise Electronics,West Coast DC,144,90.67,13056.48,SHP10079,DHL Express,2024-04-26,2024-04-27,Delivered
10080,2025-04-01,NIO Inc,India,ECG Sensor,Healthcare,GreenLeaf Components,West Coast DC,59,311.75,18393.25,SHP10080,Maersk Shipping,2025-04-03,2025-04-05,Delivered
10081,2025-04-16,NIO Inc,India,Thermostat,Home Automation,Sunrise Electronics,Central Europe DC,134,418.73,56109.82,SHP10081,Maersk Shipping,2025-04-18,2025-04-25,Delayed
10082,2024-09-15,Toyota Motors,South Korea,Engine Sensor,Automotive,Global Tech Parts,Asia Hub,167,162.56,27147.52,SHP10082,UPS Global,2024-09-18,2024-09-22,Delivered
10083,2025-06-28,Huawei Tech,India,PCB Board,Electronics,Quantum Supplies,East Coast DC,92,435.1,40029.200000000004,SHP10083,DHL Express,2025-07-01,2025-07-07,Delayed
10084,2024-12-29,BYD Auto,USA,Smart Thermometer,Healthcare,Nova Industrial,East Coast DC,28,156.69,4387.32,SHP10084,Maersk Shipping,2025-01-01,2025-01-08,Delayed
10085,2025-07-02,Cisco Systems,UK,Medical Tablet,Healthcare,Quantum Supplies,Middle East Hub,182,236.19,42986.58,SHP10085,FedEx Logistics,2025-07-05,2025-07-12,Delayed
10086,2025-02-15,Samsung Electronics,China,Engine Sensor,Automotive,Global Tech Parts,Central Europe DC,48,162.56,7802.88,SHP10086,FedEx Logistics,2025-02-20,2025-02-26,Delayed
10087,2024-03-11,Amazon Robotics,Germany,Smart Switch,Home Automation,Quantum Supplies,Asia Hub,49,24.98,1224.02,SHP10087,FedEx Logistics,2024-03-16,2024-03-21,Delivered
10088,2024-04-19,Cisco Systems,UK,Medical Tablet,Healthcare,Quantum Supplies,Central Europe DC,184,236.19,43458.96,SHP10088,FedEx Logistics,2024-04-23,2024-04-28,Delivered
10089,2024-09-14,LG Electronics,Germany,Brake Module,Automotive,Global Tech Parts,Asia Hub,98,224.49,22000.02,SHP10089,FedEx Logistics,2024-09-18,2024-09-19,Delivered
10090,2025-05-11,Toyota Motors,South Korea,Microcontroller,Electronics,Sunrise Electronics,Central Europe DC,160,90.66,14505.599999999999,SHP10090,DHL Express,2025-05-16,2025-05-20,Delivered
10091,2025-06-01,Panasonic Corp,Netherlands,Door Sensor,Home Automation,GreenLeaf Components,Middle East Hub,95,485.41,46113.950000000004,SHP10091,FedEx Logistics,2025-06-02,2025-06-09,Delayed
10092,2024-06-24,Bosch GmbH,UK,Engine Sensor,Automotive,Global Tech Parts,Asia Hub,152,162.56,24709.12,SHP10092,Maersk Shipping,2024-06-29,2024-07-04,Delivered
10093,2025-05-01,Cisco Systems,UK,Power Cable,Energy,Sunrise Electronics,West Coast DC,84,90.67,7616.28,SHP10093,Maersk Shipping,2025-05-05,2025-05-11,Delayed
10094,2024-10-16,BYD Auto,USA,Voice Assistant,Home Automation,Nova Industrial,Middle East Hub,187,103.19,19296.53,SHP10094,DHL Express,2024-10-19,2024-10-23,Delivered
10095,2024-05-11,Ford Motors,South Korea,Smart Thermometer,Healthcare,Nova Industrial,Middle East Hub,147,156.69,23033.43,SHP10095,Maersk Shipping,2024-05-16,2024-05-17,Delivered
10096,2024-08-02,Amazon Robotics,Germany,Sensor Module,Electronics,Nova Industrial,Central Europe DC,195,43.17,8418.15,SHP10096,DHL Express,2024-08-07,2024-08-11,Delivered
10097,2025-03-13,Siemens AG,India,Inverter,Energy,Nova Industrial,East Coast DC,74,370.02,27381.48,SHP10097,UPS Global,2025-03-15,2025-03-22,Delayed
10098,2025-06-10,LG Electronics,Germany,Smart Switch,Home Automation,Quantum Supplies,East Coast DC,91,24.98,2273.18,SHP10098,FedEx Logistics,2025-06-15,2025-06-15,Delivered
10099,2025-01-31,Cisco Systems,UK,Smart Switch,Home Automation,Quantum Supplies,Asia Hub,16,24.98,399.68,SHP10099,DHL Express,2025-02-05,2025-02-06,Delivered
10100,2024-10-06,BYD Auto,USA,Voice Assistant,Home Automation,Nova Industrial,Asia Hub,143,103.19,14756.17,SHP10100,Maersk Shipping,2024-10-07,2024-10-08,Delivered
10101,2024-06-17,NIO Inc,India,Thermostat,Home Automation,Sunrise Electronics,East Coast DC,177,418.73,74115.21,SHP10101,FedEx Logistics,2024-06-22,2024-06-22,Delivered
10102,2024-10-11,Philips Healthcare,UK,Microcontroller,Electronics,Sunrise Electronics,East Coast DC,137,90.66,12420.42,SHP10102,DHL Express,2024-10-13,2024-10-15,Delivered
10103,2024-01-16,Tesla Motors,UK,ECG Sensor,Healthcare,GreenLeaf Components,West Coast DC,151,311.75,47074.25,SHP10103,UPS Global,2024-01-21,2024-01-21,Delivered
10104,2024-07-22,Cisco Systems,UK,Light Controller,Home Automation,BlueWave Materials,Middle East Hub,90,117.98,10618.2,SHP10104,FedEx Logistics,2024-07-26,2024-07-29,Delivered
10105,2024-11-29,BYD Auto,USA,Power Cable,Energy,Sunrise Electronics,Central Europe DC,77,90.67,6981.59,SHP10105,FedEx Logistics,2024-12-04,2024-12-08,Delivered
10106,2024-10-05,Samsung Electronics,China,Oximeter,Healthcare,Sunrise Electronics,West Coast DC,150,192.69,28903.5,SHP10106,FedEx Logistics,2024-10-06,2024-10-09,Delivered
10107,2025-06-05,Huawei Tech,India,Blood Pressure Monitor,Healthcare,GreenLeaf Components,West Coast DC,161,82.65,13306.650000000001,SHP10107,UPS Global,2025-06-09,2025-06-13,Delivered
10108,2025-04-29,Ford Motors,South Korea,Sensor Module,Electronics,Nova Industrial,Central Europe DC,154,43.17,6648.18,SHP10108,Maersk Shipping,2025-05-03,2025-05-04,Delivered
10109,2024-08-04,LG Electronics,Germany,Microcontroller,Electronics,Sunrise Electronics,Asia Hub,22,90.66,1994.52,SHP10109,DHL Express,2024-08-08,2024-08-09,Delivered
10110,2024-06-11,Microsoft Devices,India,Fuel Injector,Automotive,Nova Industrial,West Coast DC,194,269.51,52284.939999999995,SHP10110,Maersk Shipping,2024-06-16,2024-06-22,Delayed
10111,2024-08-27,Samsung Electronics,China,Oximeter,Healthcare,Sunrise Electronics,Central Europe DC,48,192.69,9249.119999999999,SHP10111,FedEx Logistics,2024-08-29,2024-09-03,Delivered
10112,2025-07-04,LG Electronics,Germany,Microcontroller,Electronics,Sunrise Electronics,Central Europe DC,188,90.66,17044.079999999998,SHP10112,UPS Global,2025-07-06,2025-07-11,Delivered
10113,2024-01-03,Apple Inc,UK,Voice Assistant,Home Automation,Nova Industrial,Middle East Hub,149,103.19,15375.31,SHP10113,DHL Express,2024-01-04,2024-01-04,Delivered
10114,2024-05-21,General Electric,China,Brake Module,Automotive,Global Tech Parts,West Coast DC,65,224.49,14591.85,SHP10114,UPS Global,2024-05-24,2024-05-25,Delivered
10115,2024-07-09,BYD Auto,USA,Brake Module,Automotive,Global Tech Parts,East Coast DC,161,224.49,36142.89,SHP10115,FedEx Logistics,2024-07-13,2024-07-17,Delivered
10116,2025-08-20,Medtronic,India,Energy Meter,Energy,GreenLeaf Components,Middle East Hub,190,305.35,58016.50000000001,SHP10116,DHL Express,2025-08-23,2025-08-29,Delayed
10117,2024-12-10,Siemens AG,India,Oximeter,Healthcare,Sunrise Electronics,Middle East Hub,140,192.69,26976.6,SHP10117,FedEx Logistics,2024-12-11,2024-12-12,Delivered
10118,2024-08-01,Microsoft Devices,India,Thermostat,Home Automation,Sunrise Electronics,West Coast DC,99,418.73,41454.270000000004,SHP10118,Maersk Shipping,2024-08-05,2024-08-08,Delivered
10119,2024-03-17,NIO Inc,India,Voice Assistant,Home Automation,Nova Industrial,Asia Hub,39,103.19,4024.41,SHP10119,Maersk Shipping,2024-03-21,2024-03-26,Delivered
10120,2025-07-12,NIO Inc,India,Medical Tablet,Healthcare,Quantum Supplies,Central Europe DC,154,236.19,36373.26,SHP10120,FedEx Logistics,2025-07-15,2025-07-18,Delivered
10121,2024-07-31,Cisco Systems,UK,GPS Unit,Automotive,GreenLeaf Components,Central Europe DC,144,156.25,22500.0,SHP10121,UPS Global,2024-08-01,2024-08-04,Delivered
10122,2024-01-07,Siemens AG,India,Solar Panel,Energy,Quantum Supplies,West Coast DC,123,476.1,58560.3,SHP10122,UPS Global,2024-01-08,2024-01-15,Delayed
10123,2025-06-06,NIO Inc,India,Brake Module,Automotive,Global Tech Parts,Middle East Hub,130,224.49,29183.7,SHP10123,FedEx Logistics,2025-06-07,2025-06-09,Delivered
10124,2025-06-20,BYD Auto,USA,Door Sensor,Home Automation,GreenLeaf Components,Asia Hub,41,485.41,19901.81,SHP10124,UPS Global,2025-06-23,2025-06-26,Delivered
10125,2025-07-02,Sony Corp,Netherlands,Brake Module,Automotive,Global Tech Parts,West Coast DC,49,224.49,11000.01,SHP10125,FedEx Logistics,2025-07-06,2025-07-06,Delivered
10126,2025-07-30,Apple Inc,UK,Medical Tablet,Healthcare,Quantum Supplies,Middle East Hub,111,236.19,26217.09,SHP10126,Maersk Shipping,2025-07-31,2025-08-02,Delivered
10127,2025-07-02,Medtronic,India,Energy Meter,Energy,GreenLeaf Components,Middle East Hub,186,305.35,56795.100000000006,SHP10127,Maersk Shipping,2025-07-05,2025-07-08,Delivered
10128,2024-12-13,Toyota Motors,South Korea,Smart Thermometer,Healthcare,Nova Industrial,Middle East Hub,121,156.69,18959.489999999998,SHP10128,UPS Global,2024-12-15,2024-12-21,Delayed
10129,2024-09-21,LG Electronics,Germany,Door Sensor,Home Automation,GreenLeaf Components,Asia Hub,25,485.41,12135.25,SHP10129,Maersk Shipping,2024-09-24,2024-09-30,Delayed
10130,2024-07-06,General Electric,China,EV Charger,Automotive,Sunrise Electronics,Asia Hub,57,103.95,5925.150000000001,SHP10130,UPS Global,2024-07-09,2024-07-13,Delivered
10131,2024-06-02,Siemens AG,India,WiFi Module,Electronics,BlueWave Materials,Middle East Hub,168,358.42,60214.560000000005,SHP10131,UPS Global,2024-06-05,2024-06-09,Delivered
10132,2025-02-14,NIO Inc,India,PCB Board,Electronics,Quantum Supplies,Middle East Hub,83,435.1,36113.3,SHP10132,DHL Express,2025-02-18,2025-02-24,Delayed
10133,2025-08-16,Samsung Electronics,China,Medical Tablet,Healthcare,Quantum Supplies,Central Europe DC,144,236.19,34011.36,SHP10133,Maersk Shipping,2025-08-18,2025-08-23,Delivered
10134,2024-08-06,LG Electronics,Germany,Voice Assistant,Home Automation,Nova Industrial,East Coast DC,124,103.19,12795.56,SHP10134,UPS Global,2024-08-10,2024-08-16,Delayed
10135,2024-07-13,Apple Inc,UK,Energy Meter,Energy,GreenLeaf Components,West Coast DC,10,305.35,3053.5,SHP10135,DHL Express,2024-07-16,2024-07-21,Delivered
10136,2025-04-11,Samsung Electronics,China,Brake Module,Automotive,Global Tech Parts,East Coast DC,106,224.49,23795.940000000002,SHP10136,FedEx Logistics,2025-04-12,2025-04-14,Delivered
10137,2024-02-06,Cisco Systems,UK,Smart Switch,Home Automation,Quantum Supplies,Central Europe DC,60,24.98,1498.8,SHP10137,UPS Global,2024-02-10,2024-02-15,Delivered
10138,2024-04-30,Medtronic,India,Medical Tablet,Healthcare,Quantum Supplies,East Coast DC,179,236.19,42278.01,SHP10138,FedEx Logistics,2024-05-01,2024-05-02,Delivered
10139,2024-08-04,Amazon Robotics,Germany,Voice Assistant,Home Automation,Nova Industrial,Middle East Hub,86,103.19,8874.34,SHP10139,FedEx Logistics,2024-08-05,2024-08-09,Delivered
10140,2024-08-18,Huawei Tech,India,GPS Unit,Automotive,GreenLeaf Components,Middle East Hub,87,156.25,13593.75,SHP10140,FedEx Logistics,2024-08-21,2024-08-21,Delivered
10141,2025-03-15,Panasonic Corp,Netherlands,WiFi Module,Electronics,BlueWave Materials,Central Europe DC,65,358.42,23297.3,SHP10141,DHL Express,2025-03-16,2025-03-16,Delivered
10142,2024-07-09,Intel Corp,Japan,Brake Module,Automotive,Global Tech Parts,West Coast DC,113,224.49,25367.370000000003,SHP10142,Maersk Shipping,2024-07-12,2024-07-15,Delivered
10143,2025-07-06,Samsung Electronics,China,Microcontroller,Electronics,Sunrise Electronics,East Coast DC,105,90.66,9519.3,SHP10143,UPS Global,2025-07-09,2025-07-10,Delivered
10144,2024-03-31,Sony Corp,Netherlands,Thermostat,Home Automation,Sunrise Electronics,East Coast DC,136,418.73,56947.28,SHP10144,UPS Global,2024-04-05,2024-04-06,Delivered
10145,2024-08-06,Medtronic,India,Microcontroller,Electronics,Sunrise Electronics,West Coast DC,99,90.66,8975.34,SHP10145,Maersk Shipping,2024-08-08,2024-08-12,Delivered
10146,2024-06-30,Samsung Electronics,China,LED Driver,Electronics,Sunrise Electronics,East Coast DC,98,306.54,30040.920000000002,SHP10146,UPS Global,2024-07-03,2024-07-03,Delivered
10147,2024-12-04,Toyota Motors,South Korea,Inverter,Energy,Nova Industrial,West Coast DC,80,370.02,29601.6,SHP10147,FedEx Logistics,2024-12-09,2024-12-10,Delivered
